Timestamp,UNIX Epoch,Open5GS (m),5GDeploy Cores (m),OAI UE (m),OAI gNB (m),FlexRIC (m),srsRAN_Project (m),srsRAN_UE (m),O-SC Near-RT RIC (m)
2025-08-14 18:48:51,1755211731,2.05000,6.46666,3.16666,1.90000,.68333,5.45000,3.30000,8.00000
2025-08-14 19:26:29,1755213989,2.05000,6.68333,3.11666,1.88333,.66666,5.48333,4.60000,8.18333
2025-08-14 20:04:45,1755216285,2.05000,7.68333,2.75000,2.25000,.66666,5.23333,3.81666,8.63333
2025-08-14 20:41:20,1755218480,2.05000,6.73333,3.15000,1.93333,.68333,5.35000,3.25000,8.33333
2025-08-14 21:18:27,1755220707,2.06666,7.16666,2.73333,2.00000,.66666,5.33333,3.25000,8.65000
2025-08-14 21:56:46,1755223006,2.11666,6.96666,3.00000,2.00000,.75000,6.21666,3.95000,8.25000
2025-08-14 22:37:56,1755225476,3.38333,7.31666,3.66666,2.53333,.90000,5.78333,3.86666,8.46666
2025-08-15 10:28:52,1755268132,2.88333,8.70000,3.30000,1.90000,.78333,7.31666,3.93333,9.03333
2025-08-15 11:16:59,1755271019,2.90000,8.46666,4.00000,2.63333,.86666,7.48333,4.40000,9.78333
2025-08-15 11:58:27,1755273507,2.33333,8.08333,3.18333,2.25000,.81666,5.61666,3.93333,9.00000
2025-08-15 12:38:29,1755275909,2.20000,8.50000,3.11666,2.26666,.66666,5.25000,3.11666,9.03333
2025-08-15 13:17:56,1755278276,2.21666,8.01666,2.78333,1.90000,.71666,5.23333,3.33333,9.13333
2025-08-15 13:57:48,1755280668,2.16666,8.03333,2.80000,1.91666,.70000,5.33333,3.36666,9.50000
2025-08-15 14:38:50,1755283130,2.18333,8.58333,2.85000,1.90000,.70000,5.45000,3.36666,9.88333
2025-08-15 15:19:12,1755285552,2.11666,8.58333,3.13333,1.90000,.70000,5.36666,3.26666,9.13333
2025-08-15 15:55:29,1755287729,2.75000,,3.30000,2.61666,.85000,6.00000,3.55000,9.55000
2025-08-15 16:33:38,1755290018,2.25000,,2.91666,2.70000,1.00000,6.05000,3.71666,10.06666
2025-08-15 18:28:30,1755296910,2.63333,8.33333,3.28333,2.76666,.71666,6.61666,3.80000,80.23333
2025-08-15 19:07:55,1755299275,2.15000,7.60000,3.16666,1.93333,.70000,5.58333,3.31666,9.11666
2025-08-15 19:47:19,1755301639,2.16666,7.58333,3.13333,2.31666,.70000,5.38333,3.30000,8.86666
2025-08-15 20:26:51,1755304011,2.26666,8.18333,2.95000,1.90000,.70000,5.20000,3.40000,8.88333
2025-08-15 21:07:06,1755306426,2.15000,8.25000,2.75000,1.86666,.80000,5.35000,3.28333,9.88333
2025-08-15 21:50:19,1755309019,2.80000,8.68333,3.18333,2.70000,1.01666,5.30000,3.31666,9.55000
2025-08-15 22:35:10,1755311710,2.56666,9.56666,3.35000,2.25000,.93333,6.21666,3.70000,9.88333
2025-08-15 23:20:46,1755314446,2.98333,8.58333,3.76666,2.30000,.78333,5.26666,3.41666,11.43333
2025-08-16 00:01:32,1755316892,2.16666,8.65000,2.76666,2.28333,.70000,4.98333,3.25000,9.76666
2025-08-16 00:43:19,1755319399,2.11666,8.41666,2.76666,3.33333,.71666,5.23333,3.36666,9.60000
2025-08-16 01:23:37,1755321817,2.11666,8.65000,2.76666,1.90000,.70000,5.31666,3.30000,9.30000
2025-08-16 02:04:15,1755324255,2.21666,8.40000,3.23333,1.91666,.71666,5.26666,3.46666,9.31666
2025-08-16 02:39:06,1755326346,2.11666,,2.78333,1.88333,.68333,5.23333,3.26666,9.36666
2025-08-16 03:17:21,1755328641,2.13333,,3.16666,1.90000,.71666,5.36666,3.26666,11.45000
2025-08-16 03:54:37,1755330877,2.65000,,2.95000,2.36666,.73333,5.96666,3.60000,9.30000
2025-08-16 04:33:04,1755333184,2.68333,,3.11666,2.63333,.75000,6.31666,3.53333,9.61666
2025-08-16 05:17:23,1755335843,2.48333,,3.31666,2.11666,.80000,6.68333,3.78333,9.73333
2025-08-16 05:52:24,1755337944,2.25000,,3.10000,1.85000,.70000,5.08333,3.25000,9.41666
2025-08-16 06:27:52,1755340072,2.13333,,2.75000,1.95000,.71666,5.10000,3.38333,10.05000
2025-08-16 07:04:16,1755342256,2.10000,,2.76666,1.86666,.68333,5.03333,3.18333,10.03333
2025-08-16 07:38:26,1755344306,2.08333,,2.71666,1.86666,.70000,5.20000,3.25000,9.41666
2025-08-16 08:13:20,1755346400,2.21666,,2.66666,1.85000,.70000,5.21666,3.45000,9.30000
2025-08-16 08:32:46,1755347566,2.16666,,2.73333,2.21666,.70000,5.35000,3.16666,
2025-08-16 09:18:01,1755350281,2.60000,9.10000,3.01666,1.90000,.70000,5.25000,3.35000,10.41666
